,m,x,r,d,v,ns,n,zg,t,l,c,uj,ul,p,nz,f,a,nr,eng,nrt,vn,s,u,b,y,df,i,ad,nt,an,vq,ug,j,h,uz,g,q,ud,z,rr,ng,vg,uv,k,mq,o,ag,yg,e,nrfg,rz,vd,vi,tg,dg
vn,"(34, 14038)","(266, 30230)","(59, 17697)","(65, 13132)","(301, 42175)","(71, 13006)","(226, 40020)","(2, 795)","(14, 1894)","(182, 3134)","(36, 7805)","(350, 10574)","(11, 1329)","(50, 8822)","(191, 2422)","(7, 2458)","(21, 7169)","(14, 3570)","(30, 1585)",,"(17, 1549)","(7, 849)","(2, 373)","(45, 796)",,,"(7, 747)","(5, 610)","(4, 329)","(2, 65)",,"(3, 329)","(2, 564)",,,,"(4, 485)","(1, 395)",,,,,"(1, 54)","(1, 103)","(1, 56)",,"(1, 15)",,,,,,,,
s,"(7, 14038)","(78, 30230)","(103, 17697)","(10, 13132)","(107, 42175)","(39, 13006)","(81, 40020)","(1, 795)","(10, 1894)","(1, 3134)","(32, 7805)","(204, 10574)","(5, 1329)","(114, 8822)","(8, 2422)","(6, 2458)","(2, 7169)","(4, 3570)","(1, 1585)","(1, 296)","(1, 1549)","(3, 849)","(6, 373)","(4, 796)",,,,,,,,"(3, 329)",,,"(3, 149)",,"(4, 485)",,,,,,,,,,,,,,,,,,
u,"(6, 14038)","(22, 30230)","(28, 17697)","(17, 13132)","(46, 42175)","(26, 13006)","(149, 40020)",,"(4, 1894)","(8, 3134)","(3, 7805)","(1, 10574)",,"(3, 8822)","(5, 2422)","(9, 2458)","(22, 7169)","(18, 3570)","(7, 1585)","(2, 296)","(10, 1549)","(4, 849)","(3, 373)","(1, 796)","(1, 455)",,"(2, 747)","(4, 610)",,,,"(1, 329)","(1, 564)",,,,"(1, 485)",,"(2, 144)",,"(2, 196)",,,"(2, 103)",,,,,,,,,,,
b,"(12, 14038)","(295, 30230)","(38, 17697)","(24, 13132)","(93, 42175)","(28, 13006)","(85, 40020)","(3, 795)","(5, 1894)",,"(25, 7805)","(78, 10574)","(4, 1329)","(25, 8822)","(2, 2422)","(13, 2458)","(4, 7169)","(4, 3570)","(2, 1585)",,"(1, 1549)","(6, 849)","(3, 373)","(2, 796)",,,,"(1, 610)","(1, 329)",,,"(1, 329)","(2, 564)",,,,"(1, 485)",,,,,,,,,,,,,,,,,,
y,"(36, 14038)","(320, 30230)","(49, 17697)","(311, 13132)","(429, 42175)","(20, 13006)","(892, 40020)","(1, 795)","(7, 1894)","(30, 3134)","(17, 7805)","(67, 10574)","(61, 1329)","(3, 8822)","(112, 2422)","(7, 2458)","(526, 7169)","(11, 3570)","(18, 1585)","(1, 296)","(186, 1549)","(3, 849)","(4, 373)",,"(14, 455)","(1, 90)","(20, 747)","(1, 610)",,"(5, 65)",,"(3, 329)","(12, 564)",,,"(1, 80)","(3, 485)",,,,"(1, 196)","(4, 58)",,"(3, 103)",,"(1, 37)",,,,,,,,,
df,"(1, 14038)","(27, 30230)","(6, 17697)","(10, 13132)","(12, 42175)",,"(9, 40020)","(1, 795)","(1, 1894)","(1, 3134)","(3, 7805)",,,,,,"(1, 7169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,"(17, 14038)","(108, 30230)","(65, 17697)","(62, 13132)","(109, 42175)","(15, 13006)","(95, 40020)","(1, 795)","(6, 1894)","(38, 3134)","(48, 7805)","(47, 10574)","(4, 1329)","(16, 8822)","(2, 2422)","(8, 2458)","(4, 7169)","(14, 3570)","(3, 1585)","(2, 296)","(202, 1549)","(3, 849)","(6, 373)","(1, 796)",,"(2, 90)","(8, 747)","(2, 610)",,,,,"(1, 564)",,,,"(7, 485)","(5, 395)","(1, 144)",,"(1, 196)","(1, 58)","(1, 54)","(2, 103)",,,,,,,,,,,
ad,"(7, 14038)","(41, 30230)","(23, 17697)","(44, 13132)","(52, 42175)","(6, 13006)","(351, 40020)","(4, 795)","(3, 1894)","(3, 3134)","(22, 7805)","(12, 10574)","(2, 1329)","(4, 8822)",,"(8, 2458)","(8, 7169)","(2, 3570)","(2, 1585)","(1, 296)","(3, 1549)",,"(3, 373)","(1, 796)",,"(1, 90)","(1, 747)","(1, 610)","(2, 329)",,,,,"(1, 23)",,,,,"(1, 144)",,,,,,,,,,,,,,,,
nt,"(8, 14038)","(18, 30230)","(5, 17697)","(8, 13132)","(33, 42175)","(2, 13006)","(214, 40020)",,,,"(10, 7805)","(4, 10574)","(2, 1329)","(14, 8822)",,,"(1, 7169)","(2, 3570)",,,,,,"(1, 796)",,,,,"(1, 329)",,,,,,"(1, 149)",,,,,,,,,,,,,,,,,,,,
an,"(1, 14038)","(5, 30230)","(8, 17697)","(11, 13132)","(7, 42175)","(1, 13006)","(21, 40020)","(5, 795)",,,"(1, 7805)","(11, 10574)","(1, 1329)","(1, 8822)",,,,,,,,"(1, 849)",,,,,,,,,,"(1, 329)",,,,,,,"(1, 144)",,,,,,,,,,,,,,,,
